"listing_id","title","brand","condition","year","price_million_vnd","location","origin","color","fuel","engine_litre","transmission","seats","mileage_km","source_url"
"6971946","Mercedes Benz C class C300 AMG - 2016","Mercedes","cũ","2016","568","Hà Nội","lắp ráp trong nước","xanh","xăng","2","tự động","5",,"https://bonbanh.com/oto/generic"
"6971917","Honda City 1.5TOP - 2019","Honda","cũ","2019","365","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","78000","https://bonbanh.com/oto/generic"
"6971914","Hyundai Accent Đặc biệt 1.5 AT - 2024","Hyundai","cũ","2024","438","Hà Nội","lắp ráp trong nước","đỏ","xăng","1.5","tự động","5","11000","https://bonbanh.com/oto/generic"
"6971891","Kia Sonet Luxury 1.5 AT - 2025","Kia","cũ","2025","498","TP HCM","lắp ráp trong nước","xám","xăng","1.5","tự động","5","16000","https://bonbanh.com/oto/generic"
"6971877","Hyundai Elantra 2.0 AT Cao cấp - 2022","Hyundai","cũ","2022","515","Hà Nội","lắp ráp trong nước","đỏ","xăng","2","tự động","5","22000","https://bonbanh.com/oto/generic"
"6971871","Toyota Vios E 1.5 MT - 2023","Toyota","cũ","2023","355","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tay","5","36000","https://bonbanh.com/oto/generic"
"6971836","Mazda CX8 Premium 2.5 AT - 2024","Mazda","cũ","2024","900","Hà Nội","lắp ráp trong nước","đỏ","xăng","2.5","tự động","7","30000","https://bonbanh.com/oto/generic"
"6971800","Lexus RX 350 Premium - 2025","Lexus","cũ","2025","3439","Hà Nội","nhập khẩu","trắng","xăng","2.4","tự động","5","8986","https://bonbanh.com/oto/generic"
"6971797","VinFast Fadil 1.4 AT - 2021","VinFast","cũ","2021","268","TP HCM","lắp ráp trong nước","trắng","xăng","1.4","tự động","5","43000","https://bonbanh.com/oto/vinfast"
"6971747","Honda CRV e:HEV RS - 2024","Honda","cũ","2024","1159","TP HCM","nhập khẩu","đỏ","hybrid","2","tự động","5","23000","https://bonbanh.com/oto/generic"
"6971744","Kia Seltos Luxury 1.4 AT - 2022","Kia","cũ","2022","520","Hà Nội","lắp ráp trong nước","trắng","xăng","1.4","tự động","5","38000","https://bonbanh.com/oto/generic"
"6971713","Hyundai Tucson 2.0 AT Đặc biệt - 2022","Hyundai","cũ","2022","690","Hà Nội","lắp ráp trong nước","đen","xăng","2","tự động","5","40000","https://bonbanh.com/oto/generic"
"6971669","Mercedes Benz GLC 300 4Matic - 2021","Mercedes Benz","cũ","2021","1479","Hà Nội","lắp ráp trong nước","trắng","xăng","2","tự động","5","25000","https://bonbanh.com/oto/mercedes_benz"
"6971654","Toyota Innova 2.0E - 2018","Toyota","cũ","2018","347","TP HCM","lắp ráp trong nước","nâu","xăng","2","tay","8","86","https://bonbanh.com/oto/generic"
"6971558","Mercedes Benz GLC 300 4Matic - 2022","Mercedes","cũ","2022","1489","Hà Nội","lắp ráp trong nước","đen","xăng","2","tự động","5","70000","https://bonbanh.com/oto/generic"
"6971482","Mitsubishi Xpander 1.5 MT - 2020","Mitsubishi","cũ","2020","350","Hà Nội","nhập khẩu","trắng","xăng","1.5","tay","7","100000","https://bonbanh.com/oto/generic"
"6971474","Honda CRV L - 2025","Honda","cũ","2025","1020","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","7","17000","https://bonbanh.com/oto/generic"
"6971425","Honda City L 1.5 AT - 2021","Honda","cũ","2021","395","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","70000","https://bonbanh.com/oto/generic"
"6971418","Mazda CX8 Premium - 2024","Mazda","cũ","2024","910","Hà Nội","lắp ráp trong nước","đỏ","xăng","2.5","tự động","7","32000","https://bonbanh.com/oto/generic"
"6971352","Mazda CX5 2.0 AT - 2016","Mazda","cũ","2016","395","TP HCM","lắp ráp trong nước","trắng","xăng","2","tự động","5","112000","https://bonbanh.com/oto/generic"
"6971351","Toyota Prado LC250 2.4L - 2026","Toyota","mới","2026","3410","TP HCM","nhập khẩu","đen","xăng","2.4","tự động","7",,"https://bonbanh.com/oto/generic"
"6971327","Audi Q7 45 TFSI Quattro - 2023","Audi","cũ","2023","2390","Hà Nội","nhập khẩu","đen","xăng","2","tự động","7","32000","https://bonbanh.com/oto/audi"
"6971316","Ford Explorer Limited 2.3L EcoBoost - 2015","Ford","cũ","2015","640","TP HCM","nhập khẩu","đen","xăng","2.3","tự động","7",,"https://bonbanh.com/oto/generic"
"6971304","BYD Han EV - 2024","BYD","cũ","2024","1199","TP HCM","nhập khẩu","xám","điện",,"tự động","5","21000","https://bonbanh.com/oto/generic"
"6971295","Hyundai Elantra 2.0 AT Cao cấp - 2022","Hyundai","cũ","2022","510","Hà Nội","lắp ráp trong nước","đỏ","xăng","2","tự động","5","22000","https://bonbanh.com/oto/generic"
"6971291","Mercedes Benz S class S400L - 2016","Mercedes","cũ","2016","1247","TP HCM","lắp ráp trong nước","đỏ","xăng","3","tự động","5","67000","https://bonbanh.com/oto/generic"
"6971283","Nissan Navara EL 2.3 AT 2WD - 2023","Nissan","cũ","2023","495","Đà Nẵng","nhập khẩu","đỏ","dầu","2.3","tự động","5","80000","https://bonbanh.com/oto/generic"
"6971281","Lexus RX 450h - 2011","Lexus","cũ","2011","830","Hà Nội","nhập khẩu","vàng","hybrid","3.5","tự động","5","100000","https://bonbanh.com/oto/generic"
"6971277","Mercedes Benz GLE Class GLE 400 4Matic Coupe - 2017","Mercedes","cũ","2017","1290","TP HCM","nhập khẩu","nâu","xăng","3","tự động","5","91000","https://bonbanh.com/oto/generic"
"6971276","Kia Carnival Signature 2.2D - 2022","Kia","cũ","2022","995","Hà Nội","lắp ráp trong nước","xám","dầu","2.2","tự động","7","83000","https://bonbanh.com/oto/generic"
"6971261","Hyundai Universe Xpress Luxury 47 - 2016","Hyundai","cũ","2016","750","Hà Nội","lắp ráp trong nước","trắng","dầu",,"tay","47","300000","https://bonbanh.com/oto/generic"
"6971250","Mercedes Benz GLC 300 4Matic - 2021","Mercedes","cũ","2021","1479","Hà Nội","lắp ráp trong nước","trắng","xăng","2","tự động","5","25000","https://bonbanh.com/oto/generic"
"6971234","Ford Ranger Wildtrak 2.0L 4x4 AT - 2020","Ford","cũ","2020","565","Hà Nội","nhập khẩu","trắng","dầu","2","tự động","5","100000","https://bonbanh.com/oto/generic"
"6971218","Audi A4 40 TFSI Advanced - 2020","Audi","cũ","2020","1180","TP HCM","nhập khẩu","trắng","xăng","2","tự động","5","81000","https://bonbanh.com/oto/generic"
"6971193","Chevrolet Colorado LTZ 2.8L 4x4 MT - 2013","Chevrolet","cũ","2013","265","Lâm Đồng","nhập khẩu","xanh","dầu","2.8","tay","5","100000","https://bonbanh.com/oto/generic"
"6971192","Hyundai Universe Noble 47S - 2015","Hyundai","cũ","2015","615","Hà Nội","lắp ráp trong nước","hồng","dầu","12.9","tay","47","300000","https://bonbanh.com/oto/generic"
"6971187","Ford Territory Titanium X 1.5 AT - 2025","Ford","cũ","2025","765","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","24000","https://bonbanh.com/oto/generic"
"6971184","Mercedes Benz C class C200 Exclusive - 2021","Mercedes","cũ","2021","938","TP HCM","lắp ráp trong nước","đen","xăng","2","tự động","5","26200","https://bonbanh.com/oto/generic"
"6971182","Mazda BT50 2.2L 4x4 MT - 2016","Mazda","cũ","2016","335","Lâm Đồng","nhập khẩu","đen","dầu","2.2","tay","5","140000","https://bonbanh.com/oto/generic"
"6971170","Kia Picanto 1.25 AT - 2013","Kia","cũ","2013","165","Lâm Đồng","lắp ráp trong nước","đỏ","xăng","1.25","tự động","5",,"https://bonbanh.com/oto/generic"
"6971140","Mazda 6 Signature Premium 2.5 AT - 2023","Mazda","cũ","2023","719","TP HCM","lắp ráp trong nước","trắng","xăng","2.5","tự động","5","30000","https://bonbanh.com/oto/generic"
"6971137","Mazda 2 1.5 AT - 2022","Mazda","cũ","2022","325","Bình Phước","nhập khẩu","xám","xăng","1.5","tự động","5","48000","https://bonbanh.com/oto/generic"
"6971125","Mitsubishi Xpander 1.5 AT - 2021","Mitsubishi","cũ","2021","405","Hà Nội","nhập khẩu","nâu","xăng","1.5","tự động","7",,"https://bonbanh.com/oto/generic"
"6971124","Toyota Fortuner 2.4G 4x2 MT - 2017","Toyota","cũ","2017","555","Bình Phước","nhập khẩu","bạc","dầu","2.4","tay","7","97000","https://bonbanh.com/oto/generic"
"6971120","Honda CRV L - 2021","Honda","cũ","2021","789","Hà Nội","lắp ráp trong nước","xanh","xăng","1.5","tự động","7","70000","https://bonbanh.com/oto/generic"
"6971110","Hyundai Kona Đặc Biệt 2.0 AT - 2018","Hyundai","cũ","2018","401","Hà Nội","lắp ráp trong nước","đỏ","xăng","2","tự động","5",,"https://bonbanh.com/oto/hyundai"
"6971049","MG 5 Standard 1.5 AT - 2023","MG","cũ","2023","350","Hà Nội","nhập khẩu","trắng","xăng","1.5","tự động","5","36000","https://bonbanh.com/oto/generic"
"6971035","Ford Transit Van - 2019","Ford","cũ","2019","365","Hà Nội","lắp ráp trong nước","bạc","dầu","2.4","tay","3","80000","https://bonbanh.com/oto/generic"
"6971027","Hyundai SantaFe Calligraphy 2.5L Turbo HTRAC - 2025","Hyundai","cũ","2025","1225","Hà Nội","lắp ráp trong nước","đen","xăng","2.5","tự động","6","17000","https://bonbanh.com/oto/generic"
"6971019","Mercedes Benz C class C200 Avantgarde - 2023","Mercedes","cũ","2023","1288","Hà Nội","lắp ráp trong nước","trắng","xăng","1.5","tự động","5","5200","https://bonbanh.com/oto/generic"
